,id,loan_amnt,term,int_rate, installment ,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,title,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,mths_since_last_major_derog,acc_now_delinq,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,is_good_customer
0,90531864,4500,36,0.13, 151.17 ,3,1,0.0,MORTGAGE,56000.0,Verified,debt_consolidation,Debt consolidation,TX,22.48,0,Apr-87,1,,66.0,12,1,1821,5%,21,w,,0,129037,2,3,3,3,3.0,40458,90.0,1,4,904,52,36200,2,1,3,8,10753,23886.0,6.3,0,0,157.0,353,6,3,1,15.0,,6.0,,0,3,4,4,7,6,8,14,4,12,0.0,0,0,5,89.5,0.0,1,0,172519,42279,25500,44819,yes
1,90521796,25000,60,0.14, 588.08 ,3,4,10.0,MORTGAGE,100000.0,Not Verified,debt_consolidation,Debt consolidation,WA,18.59,0,Nov-05,0,48.0,,13,0,16315,45.60%,35,w,,0,214917,3,3,0,1,17.0,29736,26.0,3,5,2238,37,35800,1,9,2,8,16532,2762.0,44.8,0,0,126.0,130,2,2,3,6.0,48.0,5.0,48.0,0,1,4,1,9,7,9,25,4,13,0.0,0,0,4,97.1,0.0,0,0,273664,46051,5000,68764,yes
2,90270660,2000,36,0.13, 67.87 ,3,2,1.0,MORTGAGE,80000.0,Source Verified,medical,Medical expenses,NV,15.33,0,Jun-02,1,41.0,,8,0,7820,72.40%,21,w,41.0,0,334288,2,3,2,2,12.0,39760,67.0,2,3,2443,68,10800,0,2,4,7,41786,57.0,97.7,0,0,171.0,140,4,1,6,75.0,43.0,3.0,43.0,2,1,4,1,2,6,4,9,4,8,0.0,0,0,5,85.7,100.0,0,0,356823,47580,2500,59315,yes
3,90611738,20000,36,0.09, 635.91 ,2,1,0.0,MORTGAGE,76332.0,Not Verified,debt_consolidation,Debt consolidation,WA,12.72,0,Dec-92,1,31.0,,22,0,21600,22.50%,46,f,,0,322050,1,1,0,1,16.0,6306,63.0,3,5,10385,26,95800,0,2,3,7,16103,33349.0,34.6,0,0,123.0,285,4,4,3,4.0,56.0,4.0,31.0,0,5,7,7,12,9,19,33,7,22,0.0,0,0,3,95.7,0.0,0,0,405800,27906,51000,10000,yes
4,90692987,35000,60,0.16, 843.53 ,3,5,1.0,MORTGAGE,220000.0,Source Verified,home_improvement,Home improvement,AZ,9.62,0,Jun-99,1,39.0,,11,0,33719,28.20%,27,w,55.0,0,572786,2,2,1,3,11.0,32775,70.0,1,4,20976,40,119400,8,0,8,8,52071,84681.0,28.5,0,0,66.0,207,4,4,4,4.0,,0.0,39.0,2,4,4,7,12,4,8,18,4,11,0.0,0,0,3,92.3,14.3,0,0,673762,66494,118400,46682,yes
5,90211258,14850,60,0.19, 385.14 ,4,3,10.0,MORTGAGE,65000.0,Verified,credit_card,Credit card refinancing,AL,3.32,0,Jul-05,1,34.0,,7,0,9112,56.60%,22,w,34.0,0,73044,1,0,0,0,28.0,0,,3,5,2941,57,16100,0,1,3,6,12174,2309.0,71.1,0,0,134.0,117,2,2,3,2.0,,2.0,,2,3,5,3,3,12,6,6,5,7,0.0,0,0,4,95.0,66.7,0,0,82766,9112,8000,0,no
6,90191117,2000,36,0.19, 73.31 ,4,3,5.0,RENT,34000.0,Verified,credit_card,Credit card refinancing,CA,8.82,1,Jul-03,0,17.0,,4,0,5881,51.10%,11,w,,0,9163,1,1,1,2,12.0,3282,82.0,1,1,915,59,11500,1,0,1,3,2291,4585.0,16.6,0,0,147.0,122,0,0,3,29.0,,12.0,17.0,0,1,2,1,2,3,3,5,2,4,0.0,0,0,2,90.9,0.0,0,0,15500,9163,5500,4000,yes
7,90611716,4000,36,0.11, 130.94 ,2,4,9.0,MORTGAGE,60000.0,Verified,debt_consolidation,Debt consolidation,IN,23.5,1,Feb-05,0,5.0,67.0,15,1,26838,61.80%,23,f,56.0,0,58879,1,1,1,1,4.0,18112,94.0,2,2,8477,72,43400,1,0,3,3,4206,1607.0,91.3,0,0,110.0,139,7,4,1,8.0,,4.0,5.0,1,5,9,5,8,3,13,18,9,15,0.0,0,0,3,87.0,100.0,0,0,80539,44950,18400,19290,yes
8,90280064,1800,36,0.14, 61.95 ,3,4,5.0,MORTGAGE,56000.0,Source Verified,other,Other,OH,19.97,0,Sep-07,0,,,6,0,6509,63.20%,12,w,,0,193819,1,2,1,2,1.0,54444,100.0,0,1,6285,87,10300,0,4,1,4,32303,3791.0,63.2,0,0,70.0,108,15,1,1,15.0,,1.0,,0,2,2,3,3,5,3,6,2,6,0.0,0,0,2,100.0,33.3,0,0,207056,60953,10300,62446,yes
9,90591281,4800,36,0.16, 167.79 ,3,5,8.0,OWN,47200.0,Source Verified,other,Other,NM,15.38,0,Mar-12,1,,,6,0,4950,31.10%,6,w,,0,26507,4,1,1,1,5.0,21557,95.0,3,3,323,69,15900,2,0,4,4,4418,3277.0,9.0,0,0,5.0,54,1,1,0,6.0,,5.0,,0,1,5,1,1,1,5,5,5,6,0.0,0,0,4,100.0,0.0,0,0,38645,26507,3600,22745,yes
10,90108929,3000,36,0.14, 102.52 ,3,3,2.0,MORTGAGE,40000.0,Source Verified,debt_consolidation,Debt consolidation,DC,1.41,1,Nov-00,1,19.0,,6,0,1401,37.90%,18,w,21.0,0,199468,0,0,0,0,,0,,0,0,0,38,3700,1,0,1,0,33245,500.0,0.0,0,0,,190,34,34,3,70.0,19.0,2.0,19.0,6,0,2,1,4,0,4,14,2,6,0.0,0,1,0,66.7,0.0,0,0,221247,1401,500,0,no
11,90631697,10000,36,0.08, 311.48 ,1,3,10.0,OWN,185000.0,Source Verified,home_improvement,Home improvement,CA,26.15,0,Jul-00,0,40.0,,24,0,171447,19.70%,69,f,40.0,0,914954,2,3,2,3,1.0,191639,97.0,6,10,3036,45,236600,5,12,15,14,43569,34227.0,23.4,0,0,168.0,194,9,1,8,9.0,,0.0,,2,9,14,11,22,16,20,41,14,24,0.0,0,0,8,95.6,0.0,0,0,983707,363086,44500,184757,yes
12,89817247,15000,60,0.14, 348.95 ,3,3,10.0,MORTGAGE,50000.0,Source Verified,debt_consolidation,Debt consolidation,FL,8.02,0,Jan-02,0,,,7,0,16407,59.20%,13,w,,0,16407,0,0,1,1,10.0,0,,1,3,5440,59,27700,0,0,3,4,2344,5093.0,76.3,0,0,40.0,176,8,8,0,23.0,,4.0,,0,4,4,4,4,4,7,9,4,7,0.0,0,0,2,100.0,75.0,0,0,27700,16407,21500,0,yes
13,90695712,3000,36,0.17, 106.95 ,4,1,10.0,MORTGAGE,70000.0,Source Verified,other,Other,VA,27.88,1,Oct-94,0,23.0,,12,0,25308,97.30%,23,w,,0,335202,0,4,1,1,10.0,29309,57.0,0,0,4511,71,26000,0,16,0,1,27934,305.0,97.4,0,0,111.0,263,29,10,2,29.0,,,,0,3,7,3,4,7,7,14,7,12,0.0,0,0,1,95.7,100.0,0,0,374500,54617,11800,51500,yes
14,90379558,16000,60,0.14, 372.21 ,3,3,9.0,MORTGAGE,75000.0,Not Verified,credit_card,Credit card refinancing,TX,21.99,0,May-04,0,,,13,0,22883,42.50%,28,w,,0,154995,1,3,2,4,5.0,50881,95.0,2,2,10145,51,53800,1,0,3,6,12916,17768.0,54.9,0,0,121.0,148,10,5,3,88.0,,4.0,,0,4,6,4,6,10,9,15,6,13,0.0,0,0,4,100.0,25.0,0,0,197466,73764,39400,55110,yes
15,90164623,8000,36,0.09, 254.37 ,2,1,2.0,RENT,60000.0,Source Verified,debt_consolidation,Debt consolidation,AZ,13.48,0,Jun-07,0,,,7,0,7721,35.60%,13,w,,0,42837,1,2,2,3,5.0,35116,94.0,0,1,4410,72,21700,1,1,4,4,7140,13979.0,35.6,0,0,72.0,111,23,5,0,23.0,,0.0,,0,4,4,4,5,6,5,7,4,7,0.0,0,0,2,100.0,0.0,0,0,59138,42837,21700,37438,yes
16,90312085,7000,36,0.08, 219.33 ,1,4,2.0,MORTGAGE,60320.0,Not Verified,debt_consolidation,Debt consolidation,FL,14.62,0,Mar-99,2,,,12,0,9858,35.80%,42,w,,0,135330,3,3,1,3,3.0,30887,71.0,2,3,6953,58,27500,1,6,5,7,12303,14142.0,41.1,0,0,142.0,210,4,3,1,4.0,,3.0,,0,3,3,5,8,21,8,20,3,12,0.0,0,0,4,100.0,0.0,0,0,165949,40745,24000,43389,yes
